Sample,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,H2O_Liq,SiO2_Plag,TiO2_Plag,Al2O3_Plag,FeOt_Plag,MnO_Plag,MgO_Plag,CaO_Plag,Na2O_Plag,K2O_Plag,Cr2O3_Plag,T_K,P_GPa
0,49.1,3.22,14.4,14.8,0.14,3.2,6.72,3.34,1.7,1.13,0,57.3,0.09,26.6,0.43,0,0.03,8.33,6.11,0.49,0,1432.975847,1
1,49.2,3.89,15.3,13.7,0.12,3.88,6.76,3.44,1.22,0.83,0,56.5,0.12,26.9,0.47,0,0.05,8.95,5.66,0.47,0,1449.359937,1
2,49.6,3.79,15.8,13,0.14,4.26,6.59,3.65,1.04,0.63,0,57.6,0.11,26.3,0.5,0,0.07,8.5,6.27,0.4,0,1445.452284,1
3,47.1,4.21,12,17.8,0.18,3.4,7.28,2.93,2.02,2.32,0,57.2,0.16,27,0.62,0,0.06,9.03,5.58,0.84,0,1396.306917,0.7
4,48.1,3.88,13.2,16.4,0.16,4.02,6.51,3.36,1.36,1.59,0,56.7,0.14,27.6,0.69,0,0.11,9.46,5.58,0.48,0,1402.046224,0.7
5,48.2,4.89,14.1,14.2,0.16,4.67,6.37,3.46,1.16,0.79,0,56,0.21,26.6,0.56,0,0.1,8.99,5.7,0.45,0,1401.509672,0.5
6,49.5,4.23,14.8,14,0.16,4.63,6.36,3.76,1.04,0.69,0,56.1,0.21,27.8,0.56,0,0.09,9.94,5.53,0.38,0,1410.095592,0.5
7,49.5,4.04,15.3,13.5,0.13,4.65,6.39,3.62,0.9,0.66,0,56.4,0.2,27.3,0.53,0,0.08,9.61,5.48,0.36,0,1418.234461,0.5
8,52,4.04,12.5,14.3,0.15,3.3,6.71,2.8,1.41,1.17,0,56,0.14,27,0.64,0,0.09,9.68,5.26,0.5,0,1364.829185,0.0001
9,57.8,1.87,13.7,9.35,0.2,3.41,6.33,3.82,1.94,0.3,0,54.5,0,27.5,0.75,0,0.24,11.1,4.74,0.35,0,1374.05387,0.0001
10,57.9,1.77,13.8,9.45,0.19,3.67,6.78,3.82,1.81,0.37,0,53.8,0,28.3,0.67,0,0.2,11.9,4.45,0.29,0,1381.78246,0.0001
11,57.4,1.74,13.8,9.38,0.21,3.99,6.8,3.62,1.69,0.31,0,54.1,0,28.8,0.75,0,0.22,11.9,4.34,0.25,0,1384.19624,0.0001
12,45.38,3.24,14.03,13.85,0.22,5.35,9.48,3.2,1.07,0.59,0.17,51.98,0.12,29.3,0.61,0.01,0.21,12.84,4.03,0.3,,1466.522784,0.68
13,44.48,5.66,12.9,14.96,0.26,4.95,9.11,2.82,1.56,1.19,0.37,52.89,0.13,28.38,1.19,0.03,0.83,12,4.04,0.45,,1433.10634,0.68
14,47.7,1.73,15.88,10.17,0.19,7,11.48,2.54,0.52,0.27,0.08,49.98,0.09,31.6,0.2,0,0.22,14.4,3.111,0.14,,1509.268665,0.43
15,47.66,2.75,14.07,12.56,0.22,6,10.68,2.89,0.78,0.46,0.11,51.58,0.13,30.48,0.81,0,0.25,13.7,3.43,0.19,,1467.584555,0.43
16,46.18,3.36,13.8,13.02,0.2,5.23,9.91,3.05,1.04,0.67,0.16,51.96,0.15,29.49,0.74,0,0.41,12.91,3.77,0.26,,1456.463249,0.43
17,45.99,4.33,13.34,13.69,0.2,4.72,9.25,3.03,1.37,0.96,0.24,52.25,0.18,28.96,0.8,0,0.56,12.67,3.95,0.35,,1436.895742,0.43
18,46.15,5.21,13.59,13.57,0.13,4.37,8.88,3.05,1.8,1.18,0.42,52.78,0.14,28.29,0.74,0.02,0.18,11.65,4.53,0.54,,1422.173046,0.43
19,48.07,1.63,16.16,10.16,0.2,7.72,11.39,2.57,0.5,0.28,0.06,48.73,0.06,31.46,0.35,0,0.22,15.41,2.6,0.09,,1501.869757,0.28
20,47.81,1.89,14.86,10.91,0.16,7.01,11.58,2.66,0.56,0.28,0.08,50.14,0.08,30.58,0.35,0.01,0.25,14.7,3.05,0.11,,1485.408612,0.28
21,47.79,2.85,13.95,12.55,0.17,5.73,10.72,3.07,0.88,0.52,0.11,51.45,0.11,30.05,0.51,0,0.23,13.83,3.53,0.17,,1456.965836,0.28
22,47.35,3.42,13.37,13.41,0.22,5.18,10.15,3.12,1.05,0.74,0.16,52.17,0.13,29.58,0.66,0.03,0.23,13.23,3.78,0.25,,1439.425876,0.28
23,48.01,4.17,13.25,13.39,0.23,4.81,9.57,3.47,1.42,0.86,0.26,53.35,0.23,28.83,0.83,0.01,0.32,12.67,4.11,0.32,,1420.058731,0.28
24,64.3,0.41,16.5,3.11,0.03,0.89,3.64,4.36,1.25,,5.51,54.4,,28.8,0.16,,0.06,11.05,4.84,0.11,,1187.854328,0.225
25,64,0.54,15.9,3.3,0.1,1.49,3.97,4.7,1.14,,4.86,53,,29.6,0.28,,0.03,12.67,4.45,0.08,,1207.545286,0.18
26,66.2,0.58,14.9,3.19,0.06,0.89,3.11,5.05,1.38,,4.64,54.1,,28.7,0.24,,0.02,11.46,4.97,0.11,,1185.444827,0.125
27,65.5,0.62,16.1,3.33,0.03,1.25,3.81,4.49,1.3,,3.57,54.5,,28.6,0.26,,0.03,11.38,4.95,0.12,,1242.205042,0.165
