Sample_ID,Location,texture,olivine crystal,n,SiO2_Ol,Al2O3_Ol,stdev,Cr2O3_Ol,FeOt_Ol,MnO_Ol,MgO_Ol,CaO_Ol,Na2O_Ol,NiO_Ol,P2O5_Ol,Total,Fo,Spinel,SiO2_Sp,TiO2_Sp,Al2O3_Sp,Cr2O3_Sp,FeOt_Sp,MnO_Sp,MgO_Sp,CaO_Sp,Na2O_Sp,K2O_Sp,NiO_Sp,P2O5_Sp,Total,Cr#,T (°C),Cr=Cr/Cr+Al,
A25-D20-8,Siqueiros,1,1,4,40.95,0.067,0.005,0.06,8.85,0.14,49.31,0.30,0.00,0.31,0.02,100.0,90.8,,0.00,0.25,40.10,27.11,11.81,0.17,19.13,0.01,0.00,0.00,0.24,0.00,98.81,0.31207281,1245,0.312072806,1245.071471
A25-D20-8,Siqueiros,1/2,2,8,40.94,0.041,0.005,0.07,8.95,0.13,49.52,0.29,0.00,0.33,0.00,100.3,90.8,,0.00,0.26,41.73,25.02,11.42,0.14,19.51,0.04,0.00,0.00,0.26,0.00,98.38,0.28691869,1148,0.286918686,
020-5,Siqueiros,1/2,1,18,40.81,0.037,0.002,0.05,8.57,0.15,49.14,0.29,0.00,0.31,0.00,99.4,91.1,,0.00,0.27,38.99,26.68,11.42,0.15,19.07,0.01,0.00,0.00,0.24,0.00,96.84,0.31468242,1138,0.314682417,
020-6,Siqueiros,1,1,14,40.87,0.034,0.008,0.05,8.82,0.14,49.32,0.29,0.00,0.32,0.01,99.9,90.9,,0.00,0.24,37.08,29.63,12.32,0.16,18.94,0.03,0.00,0.00,0.26,0.00,98.66,0.34905340,1122,0.349053396,
020-6,Siqueiros,3,2,5,40.86,0.052,0.003,0.05,8.82,0.15,49.05,0.29,0.00,0.30,0.00,99.6,90.8,,0.00,0.24,37.08,29.63,12.32,0.16,18.94,0.03,0.00,0.00,0.26,0.00,98.66,0.34905340,1203,0.349053396,
020-6,Siqueiros,3,3,5,40.60,0.041,0.002,0.06,9.84,0.16,48.07,0.31,0.00,0.26,0.00,99.3,89.7,,0.00,0.24,37.08,29.63,12.32,0.16,18.94,0.03,0.00,0.00,0.26,0.00,98.66,0.34905340,1158,0.349053396,
020-6,Siqueiros,3,4,3,40.73,0.066,0.005,0.07,8.28,0.14,48.84,0.29,0.00,0.31,0.00,98.7,91.3,,0.00,0.24,37.08,29.63,12.32,0.16,18.94,0.03,0.00,0.00,0.26,0.00,98.66,0.34905340,1252,0.349053396,
020-6,Siqueiros,3#,4,16,40.89,0.057,0.006,0.06,8.58,0.14,49.10,0.29,0.00,0.32,0.00,99.4,91.1,,0.00,0.24,37.08,29.63,12.32,0.16,18.94,0.03,0.00,0.00,0.26,0.00,98.66,0.34905340,1220,0.349053396,
2384-1,Siqueiros,2,1,2,41.05,0.055,0.004,0.07,8.40,0.15,49.20,0.29,0.00,0.29,0.00,99.5,91.3,,0.00,0.24,41.09,25.27,11.25,0.15,19.15,0.03,0.00,0.00,0.23,0.00,97.40,0.29216418,1203,0.292164176,
2384-1,Siqueiros,1,1,3,41.09,0.062,0.002,0.07,8.52,0.14,49.19,0.29,0.00,0.30,0.00,99.7,91.1,,0.00,0.24,36.28,29.50,12.01,0.17,18.69,0.01,0.00,0.00,0.21,0.00,97.12,0.35301181,1241,0.353011811,
2384-1,Siqueiros,4,1,4,41.15,0.050,0.004,0.06,8.83,0.14,49.36,0.29,0.00,0.30,0.00,100.2,90.9,,0.00,0.24,36.28,29.50,12.01,0.17,18.69,0.01,0.00,0.00,0.21,0.00,97.12,0.35301181,1200,0.353011811,
2384-1,Siqueiros,1/2,2,9,40.89,0.054,0.003,0.06,8.59,0.14,49.28,0.29,0.00,0.31,0.01,99.6,91.1,,0.00,0.28,38.18,27.24,11.71,0.15,19.32,0.03,0.00,0.00,0.24,0.00,97.15,0.32373632,1208,0.323736319,
2384-11,Siqueiros,2,1,6,40.48,0.040,0.002,0.07,10.60,0.18,47.32,0.30,0.00,0.24,0.03,99.3,88.8,,0.00,0.60,28.62,33.43,17.14,0.22,15.56,0.10,0.01,0.00,0.16,0.00,95.83,0.43934784,1186,0.439347843,
2384-11,Siqueiros,2,2,4,40.39,0.037,0.006,0.28,10.57,0.19,47.25,0.32,0.01,0.22,0.01,99.3,88.8,,0.01,0.62,28.60,32.96,16.89,0.23,15.47,0.14,0.00,0.00,0.16,0.00,95.08,0.43608446,1170,0.436084458,
2384-11,Siqueiros,1,2,3,40.54,0.061,0.003,0.08,10.49,0.17,47.47,0.31,0.00,0.24,0.05,99.4,89.0,,0.01,0.62,28.60,32.96,16.89,0.23,15.47,0.14,0.00,0.00,0.16,0.00,95.08,0.43608446,1270,0.436084458,
DSDP64-474A-42R1 77-79,Gulf of California,1,1,4,40.76,0.070,0.002,0.06,11.05,0.16,48.31,0.29,0.00,0.32,0.01,101.0,88.6,,0.01,0.36,41.22,23.63,14.82,0.17,18.46,0.00,0.00,0.00,0.23,0.00,98.90,0.27782592,1255,0.277825916,
DSDP64-474A-42R1 77-79,Gulf of California,2,1,1,40.69,0.061,0.000,0.10,11.75,0.19,47.85,0.30,0.00,0.30,0.00,101.2,87.9,,0.01,0.36,41.22,23.63,14.82,0.17,18.46,0.00,0.00,0.00,0.23,0.00,98.90,0.27782592,1227,0.277825916,
DSDP64-474A-42R1 77-79,Gulf of California,1,2,2,40.83,0.061,0.005,0.05,10.87,0.17,48.32,0.29,0.01,0.32,0.01,100.9,88.8,,0.01,0.36,41.22,23.63,14.82,0.17,18.46,0.00,0.00,0.00,0.23,0.00,98.90,0.27782592,1226,0.277825916,
JR63-31-11,15N MAR,4,1,5,41.23,0.055,0.001,0.11,10.56,0.16,49.43,0.27,0.01,0.34,0.00,102.2,89.3,,0.01,0.44,36.80,28.06,15.23,0.17,17.50,0.00,0.01,0.00,0.25,0.00,98.48,0.33849811,1218,0.33849811,
NZ-9-1,Hess Deep,3,1,8,40.52,0.051,0.005,0.05,14.33,0.21,46.08,0.30,0.01,0.22,0.00,101.8,85.1,,0.00,0.43,28.92,34.94,19.78,0.24,14.87,0.03,0.01,0.00,0.13,0.00,99.34,0.44770281,1228,0.447702811,
NZ-9-1,Hess Deep,3,2,5,40.39,0.045,0.006,0.04,14.13,0.24,45.83,0.30,0.02,0.22,0.00,101.2,85.3,,0.06,0.49,26.57,35.95,19.70,0.27,13.90,0.13,0.01,0.00,0.15,0.00,97.23,0.47587860,1217,0.475878599,
DSDP88 581C-3-1 (117-119),NW Pacific,1/2,1,10,40.53,0.043,0.003,0.07,12.15,0.19,46.85,0.29,0.00,0.31,0.00,100.5,87.3,,0.01,0.30,38.92,24.99,18.05,0.21,16.26,0.01,0.00,0.00,0.24,0.00,99.05,0.30118012,1167,0.301180118,
DSDP88 581C-3-1 (117-119),NW Pacific,1/2,1,6,40.36,0.040,0.001,0.08,12.51,0.20,46.33,0.30,0.00,0.28,0.00,100.1,86.8,,0.06,0.24,38.97,24.85,16.90,0.17,16.49,0.01,0.00,0.00,0.23,0.00,97.99,0.29969503,1151,0.299695032,
DSDP88 581C-3-2 (20-22),NW Pacific,2,1,6,40.49,0.039,0.001,0.06,11.75,0.19,47.11,0.30,0.00,0.30,0.00,100.2,87.7,,0.00,0.24,38.88,24.96,16.08,0.19,16.75,0.01,0.00,0.00,0.23,0.00,97.43,0.30111131,1147,0.301111306,
DSDP88 581C-3-2 (40-42),NW Pacific,2,1,2,40.32,0.039,0.005,0.25,13.37,0.22,45.83,0.32,0.00,0.24,0.00,100.6,85.9,,0.00,0.31,38.18,25.01,18.35,0.21,15.79,0.01,0.00,0.00,0.19,0.00,98.13,0.30530076,1149,0.305300764,
DSDP88 581C-3-2 (40-42),NW Pacific,1/2,2,7,40.26,0.035,0.001,0.05,12.20,0.20,46.47,0.30,0.00,0.27,0.00,99.8,87.2,,0.04,0.29,38.44,24.34,18.31,0.23,15.57,0.02,0.00,0.00,0.20,0.00,97.54,0.29820434,1133,0.298204342,
DSDP88 581C-3-3 (18-20),NW Pacific,1/2,1,6,40.05,0.042,0.004,0.07,11.71,0.19,46.52,0.33,0.00,0.29,0.00,99.2,87.6,,0.07,0.28,38.72,25.17,16.00,0.19,16.69,0.06,0.00,0.00,0.21,0.00,97.44,0.30369117,1162,0.303691165,
DSDP88 581C-3-3 (93-95),NW Pacific,1/2,1,8,40.24,0.049,0.001,0.07,10.82,0.17,47.42,0.31,0.00,0.32,0.00,99.4,88.6,,0.03,0.26,39.28,25.71,14.30,0.17,17.65,0.00,0.00,0.00,0.25,0.00,97.72,0.30513249,1187,0.305132486,
DSDP88 581C-3-3 (93-95),NW Pacific,1/2,1,8,40.54,0.042,0.003,0.08,11.08,0.17,47.44,0.30,0.00,0.32,0.00,100.0,88.4,,0.42,0.25,39.48,25.26,14.64,0.16,17.92,0.01,0.00,0.00,0.26,0.00,98.40,0.30042585,1158,0.300425854,
DSDP88 581C-3-3 (93-95),NW Pacific,1/2,2,10,40.39,0.049,0.004,0.11,11.26,0.18,47.23,0.30,0.00,0.32,0.00,99.8,88.2,,0.07,0.27,39.19,25.26,16.29,0.21,16.67,0.01,0.00,0.00,0.25,0.00,98.23,0.30195213,1188,0.301952127,
